Text,Start Time,Duration
so we've done that now the last thing I,1236.96,4.02
want to show you is once you've done,1239.48,3.12
some work on replit and you want to save,1240.98,3.9
it back to GitHub how do you do that so,1242.6,4.319
right now if you see here if I reload,1244.88,4.38
this page GitHub still has the old,1246.919,4.62
version of the repository it does not,1249.26,3.659
have all the changes we've made on,1251.539,3.601
replit so just like we might do some,1252.919,4.5
development locally and then push our,1255.14,4.62
changes to GitHub in the same way we can,1257.419,4.561
come in here into the Version Control,1259.76,5.46
tab and on the Version Control tab we,1261.98,4.98
can review the changes that we've made,1265.22,3.66
so it looks like we've modified all of,1266.96,5.28
these files and then we can commit and,1268.88,6.0
we can push I can simply type what I've,1272.24,6.78
changed so added the flask project,1274.88,6.24
and I am going to click commit and push,1279.02,3.96
and that's going to save all of these,1281.12,3.299
changes it is going to create a git,1282.98,4.26
commit and it is going to then,1284.419,5.461
push these changes back to the main,1287.24,4.559
branch of the original repository,1289.88,5.88
akashina careers website so if I go back,1291.799,6.781
to github.com now and I reload the page,1295.76,5.34
you can see here now we have,1298.58,4.62
a bunch of other files but most,1301.1,5.1
importantly we have this app.pi file and,1303.2,5.94
this app.pi file now contains the route,1306.2,4.74
hello world,1309.14,4.32
so if you want to learn more about how,1310.94,4.32
GitHub works then you can check out this,1313.46,4.32
tutorial on GitHub and if you want to,1315.26,4.68
learn more about replit how it works and,1317.78,3.24
you can check out this tutorial and,1319.94,2.46
replied and similarly there is a,1321.02,3.12
tutorial on flask as well that you can,1322.4,4.019
check out we completed the first step,1324.14,4.62
which was to create a project on GitHub,1326.419,4.62
and then open up that project on,1328.76,5.46
replit.com then we created and ran a,1331.039,6.061
flask web server as you can see here,1334.22,5.699
and finally we push those changes back,1337.1,5.699
to GitHub so that we can share our,1339.919,6.201
project with others,1342.799,3.321
now we are going to start introducing,1346.28,5.639
some HTML and CSS,1349.1,4.86
so let's start with that,1351.919,3.901
now if we come back here to the files,1353.96,2.699
tab,1355.82,5.66
and create a folder called templates,1356.659,4.821
so you can see here I've used the plus,1362.36,3.6
add folder button and created a folder,1363.919,4.801
called templates and inside this folder,1365.96,4.74
I am going to add a file and I'm going,1368.72,4.5
to call this file home.html,1370.7,4.92
so this file is going to contain the,1373.22,6.06
information that I want to show on the,1375.62,4.86
page,1379.28,3.54
that is being rendered here,1380.48,4.199
right now we are simply showing the,1382.82,3.479
information hello jogan but we probably,1384.679,3.301
want to show something more than that we,1386.299,4.5
probably want to show a nice web page,1387.98,5.699
with some information some pictures some,1390.799,5.88
jobs so all of that we will be putting,1393.679,6.48
into this file home.html HTML is the,1396.679,5.701
language that is used to create web,1400.159,5.101
pages and you can check out any tutorial,1402.38,5.159
on HTML so the one that I would,1405.26,5.34
recommend is HTML dog.com it's really,1407.539,5.52
easy to get started and you can just go,1410.6,4.98
in HTML dog.com and open up the get,1413.059,4.681
started page and just create an HTML,1415.58,3.839
page and it contains a whole bunch of,1417.74,4.74
information on how to create HTML,1419.419,5.581
documents but this is the most basic,1422.48,5.28
structure of an HTML document you have,1425.0,4.44
something called a doctype declaration,1427.76,4.5
at the top so this tells the browser,1429.44,4.8
what kind of a,1432.26,5.52
document you are sending so if I type,1434.24,7.2
doctype HTML when we send this HTML to,1437.78,5.82
somebody's browser we're informing that,1441.44,4.44
we are writing HTML code,1443.6,4.86
and then you create what's called a tag,1445.88,5.4
so in HTML everything is constructed,1448.46,5.339
using tags any website you see on the,1451.28,4.5
internet is constructed using HTML tags,1453.799,5.521
so here the root tag or the outermost,1455.78,6.18
tag is called HTML and this is how you,1459.32,4.8
create a tag you have a less than,1461.96,4.079
and then you have the name of the tag,1464.12,3.6
and then you have a greater than so this,1466.039,4.081
is how you create the opening tag and,1467.72,4.68
then similar to the opening tag there is,1470.12,4.799
a closing tag and there is a slash at,1472.4,4.32
the beginning here after the less than,1474.919,3.181
symbol to indicate that this is the,1476.72,3.959
closing tag so basically what we're,1478.1,5.1
saying is that within the HTML tag we,1480.679,4.801
want to put some information so the root,1483.2,4.02
of your document the outermost tag in,1485.48,3.179
your document is always going to be the,1487.22,3.66
HTML tag,1488.659,5.4
now inside the HTML tag we generally put,1490.88,6.299
two tags we put head,1494.059,6.48
and we put body,1497.179,5.761
so body is what you want to actually,1500.539,4.62
show on the page,1502.94,4.7
and head is some other information,1505.159,5.101
typically this is what you want to show,1507.64,4.06
in the title bar you can put that,1510.26,3.18
information here if you want to include,1511.7,5.099
any styling declarations or css we,1513.44,4.92
generally put that in the head if you,1516.799,3.421
want to include any external Javascript,1518.36,4.08
libraries for interactivity we put that,1520.22,4.8
in the head so the head is just,1522.44,4.979
information that will be used to render,1525.02,4.56
some things on the body the body is the,1527.419,3.661
actual information that is going to get,1529.58,2.64
rendered,1531.08,4.44
so in the head typically one thing that,1532.22,5.04
is commonly put inside the head is the,1535.52,4.98
title and I'm going to call this Jovian,1537.26,5.88
couriers and let's just save that for,1540.5,6.059
now and inside the body is where you,1543.14,6.36
would put some information so here let,1546.559,4.98
me just write,1549.5,4.44
hello there,1551.539,4.981
you'll learn about,1553.94,5.839
the job openings,1556.52,3.259
at Jovian here,1560.72,5.579
so let me save that as well so we've,1563.72,5.22
created some HTML file inside a,1566.299,4.5
templates folder but how do we use it,1568.94,4.38
within the app to use a template we use,1570.799,4.681
the render template function,1573.32,4.44
from flask so from flask we import,1575.48,4.38
render template and instead of returning,1577.76,5.279
just a string hello world we say render,1579.86,4.38
template,1583.039,2.701
and then we give it the name of the,1584.24,3.12
template so in this case the template is,1585.74,3.419
called home.html so I'm just going to,1587.36,5.819
pass in home.html and there you go now,1589.159,6.481
inside home.html we are saying hello,1593.179,4.201
there you learn about the job openings,1595.64,3.72
at Jovian here and that's what shows up,1597.38,4.56
here and you can also open it up in a,1599.36,4.679
new tab and check the same thing hello,1601.94,3.719
there you'll learn about job openings at,1604.039,4.321
jobin here now not only that if you see,1605.659,4.081
carefully here,1608.36,3.419
you can see that now this says Jovian,1609.74,4.74
career so we have also set the title of,1611.779,4.441
this tab,1614.48,3.36
apart from the title we can actually,1616.22,4.38
also set this icon so just like you see,1617.84,4.62
all these different icons here we can,1620.6,3.42
actually also set these icons this is,1622.46,5.099
called the fave icon fav icon and I'll,1624.02,4.98
let you figure that out how to change,1627.559,4.921
the fav icon using a flask template so,1629.0,5.76
let's bring that back here now,1632.48,4.1
so great we are making progress already,1634.76,4.62
we are now starting to show some,1636.58,5.02
information about what we want to,1639.38,4.32
actually display on the site and we are,1641.6,3.9
doing this using a template,1643.7,4.62
now before we go further and try to just,1645.5,5.4
code the site directly it might be,1648.32,4.32
easier if we first figure out what,1650.9,4.019
exactly we want to show on the page and,1652.64,5.039
this is where you should put your laptop,1654.919,5.101
away and maybe start working using pen,1657.679,5.041
and paper and try to just draw out what,1660.02,4.56
you want to display on the page before,1662.72,3.66
you actually try to code it because if,1664.58,3.479
you don't have a clear picture of what,1666.38,3.539
you want to show then writing the code,1668.059,4.62
for it can get somewhat tricky so here,1669.919,4.38
I'm going to use a virtual whiteboard,1672.679,3.421
but please feel free to use pen and,1674.299,4.26
paper to do this and here I'm just going,1676.1,4.319
to draw a rectangle to represent the,1678.559,4.801
browser and now I am going to just put,1680.419,5.701
some information here inside which will,1683.36,5.1
give me a guide for what I want to,1686.12,4.799
actually show on the page so now let me,1688.46,7.02
go here and select the typing tool,1690.919,7.26
let's give this page a title Jovian,1695.48,4.62
careers and let's make that a little,1698.179,4.5
bigger we can also change the,1700.1,6.6
color here so let me make that dark,1702.679,6.24
so now here I'm going to have a title on,1706.7,4.68
the page called Jovian couriers then I,1708.919,4.801
am going to put an image on the page so,1711.38,4.02
here there's going to be just like a,1713.72,3.9
banner image and I don't know what I'm,1715.4,3.659
going to put in this Banner image but,1717.62,4.82
for now let me just draw some,1719.059,6.301
Hills and let me draw,1722.44,5.26
a tree,1725.36,4.02
the idea is I just want to tell myself,1727.7,3.06
that there's going to be an image here,1729.38,4.02
let me draw a river or something,1730.76,4.98
and then there is going to be maybe some,1733.4,4.019
information about shoving so I'm going,1735.74,3.6
to type about Jovian here and I'm going,1737.419,4.201
to make that a little bigger and I just,1739.34,3.6
want to have a few lines of information,1741.62,3.48
talking about jogan so I don't want to,1742.94,5.52
put any actual text here I'll just put,1745.1,6.12
lines to kind of roughly guide me that,1748.46,3.839
this is going to be just some,1751.22,2.22
information,1752.299,4.081
and then below this I am going to show,1753.44,3.9
some,1756.38,3.72
job openings so let's call this job,1757.34,4.62
openings,1760.1,4.14
and let's bring that a little bigger so,1761.96,4.319
maybe not this big but roughly about,1764.24,3.36
this big,1766.279,3.421
and this is called wireframing what,1767.6,3.959
you're doing here is you're creating a,1769.7,3.599
rough idea of what you want your site to,1771.559,4.021
look like and we don't want to get very,1773.299,4.38
detailed in terms of colors and fonts,1775.58,3.3
and all those things we just want to get,1777.679,3.72
a rough idea,1778.88,5.519
and then let us maybe list some job,1781.399,4.441
openings let's see what the job openings,1784.399,3.0
will look like so maybe data analyst is,1785.84,5.219
a job opening and maybe let me use a,1787.399,7.561
